PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr
M20,1,training,10,←,left,←,0.9836480617523193,True
M20,2,training,10,←,down,↓,0.7748548984527588,False
M20,3,training,11,←,left,←,0.5473930835723877,True
M20,4,training,10,→,right,→,0.5639550685882568,True
M20,5,experiment,12,←,left,←,0.6665241718292236,True
M20,6,experiment,10,←,right,→,0.4623749256134033,False
M20,7,experiment,11,←,no_key,no_letter,-1.0,no_ans
M20,8,training,10,↓,left,←,0.4294109344482422,False
M20,9,training,12,←,right,→,0.369373083114624,False
M20,10,experiment,12,←,right,→,0.43994712829589844,False
M20,11,experiment,10,↑,up,↑,0.485198974609375,True
M20,12,experiment,11,↑,up,↑,0.39173316955566406,True
M20,13,training,12,←,left,←,0.7568979263305664,True
M20,14,training,12,↓,down,↓,0.43613100051879883,True
M20,15,experiment,12,→,right,→,0.3739149570465088,True
M20,16,experiment,10,↑,up,↑,0.38986897468566895,True
M20,17,experiment,11,→,right,→,0.41245603561401367,True
