PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr
M20,1,training,10,↓,no_key,no_letter,-1.0,no_ans
M20,2,training,10,↓,no_key,no_letter,-1.0,no_ans
M20,3,training,12,↓,right,→,0.5253701210021973,False
M20,4,training,11,→,left,←,0.4146409034729004,False
M20,5,experiment,12,↓,no_key,no_letter,-1.0,no_ans
M20,6,experiment,10,↓,no_key,no_letter,-1.0,no_ans
M20,7,experiment,11,↓,down,↓,0.7515580654144287,True
M20,8,training,12,←,no_key,no_letter,-1.0,no_ans
M20,9,training,12,↓,right,→,0.2505178451538086,False
M20,10,experiment,11,←,down,↓,0.9104230403900146,False
M20,11,experiment,12,↓,right,→,0.3509700298309326,False
M20,12,experiment,10,↓,left,←,0.35154104232788086,False
M20,13,training,12,←,right,→,0.314877986907959,False
M20,14,training,10,↑,right,→,0.4048130512237549,False
M20,15,experiment,10,←,left,←,0.41140103340148926,True
M20,16,experiment,11,↓,right,→,0.5526430606842041,False
M20,17,experiment,12,↑,left,←,0.31987690925598145,False
