PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr
M20,1,training,10,↑,no_key,no_letter,-1.0,no_ans
M20,2,training,10,↓,no_key,no_letter,-1.0,no_ans
M20,3,training,11,→,no_key,no_letter,-1.0,no_ans
M20,4,training,12,↑,no_key,no_letter,-1.0,no_ans
M20,5,experiment,10,↓,no_key,no_letter,-1.0,no_ans
M20,6,experiment,11,↑,no_key,no_letter,-1.0,no_ans
M20,7,experiment,12,→,no_key,no_letter,-1.0,no_ans
M20,8,training,11,←,no_key,no_letter,-1.0,no_ans
M20,9,training,10,↓,no_key,no_letter,-1.0,no_ans
M20,10,experiment,11,→,right,→,0.39780616760253906,True
M20,11,experiment,12,↑,up,↑,0.3208599090576172,True
M20,12,experiment,10,↓,down,↓,0.25661516189575195,True
M20,13,training,12,←,left,←,0.25147581100463867,True
M20,14,training,10,↓,down,↓,0.6859619617462158,True
M20,15,experiment,11,↓,down,↓,0.3663671016693115,True
M20,16,experiment,12,↑,up,↑,0.11479997634887695,True
M20,17,experiment,10,→,no_key,no_letter,-1.0,no_ans
