PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr
M20,1,training,10,↑,no_key,no_letter,-1.0,no_ans
M20,2,training,10,↓,no_key,no_letter,-1.0,no_ans
M20,3,training,12,→,right,→,0.8423399925231934,True
M20,4,training,11,←,left,←,0.5805890560150146,True
M20,5,experiment,12,↑,left,←,0.850416898727417,False
M20,6,experiment,10,←,up,↑,1.238814115524292,False
M20,7,experiment,11,←,left,←,0.2912001609802246,True
M20,8,training,11,↑,up,↑,0.2674539089202881,True
M20,9,training,10,↓,up,↑,0.4072890281677246,False
M20,10,experiment,12,↑,no_key,no_letter,-1.0,no_ans
M20,11,experiment,10,↓,no_key,no_letter,-1.0,no_ans
M20,12,experiment,11,↑,no_key,no_letter,-1.0,no_ans
M20,13,training,11,→,no_key,no_letter,-1.0,no_ans
M20,14,training,11,↑,up,↑,0.18308401107788086,True
M20,15,experiment,12,↓,up,↑,0.06081700325012207,False
M20,16,experiment,11,↓,down,↓,0.43198204040527344,True
M20,17,experiment,10,↑,no_key,no_letter,-1.0,no_ans
