PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr
M20,1,training,10,↑,down,↓,0.8185038566589355,False
M20,2,training,10,↑,up,↑,0.561704158782959,True
M20,3,training,10,↓,down,↓,0.3728361129760742,True
M20,4,training,11,←,left,←,0.5974500179290771,True
M20,5,experiment,12,↓,no_key,no_letter,-1.0,no_ans
M20,6,experiment,11,↓,no_key,no_letter,-1.0,no_ans
M20,7,experiment,10,←,no_key,no_letter,-1.0,no_ans
M20,8,training,11,↑,no_key,no_letter,-1.0,no_ans
M20,9,training,10,←,no_key,no_letter,-1.0,no_ans
M20,10,experiment,11,←,no_key,no_letter,-1.0,no_ans
M20,11,experiment,10,→,no_key,no_letter,-1.0,no_ans
M20,12,experiment,12,↑,no_key,no_letter,-1.0,no_ans
M20,13,training,11,→,no_key,no_letter,-1.0,no_ans
M20,14,training,11,↑,no_key,no_letter,-1.0,no_ans
M20,15,experiment,11,→,no_key,no_letter,-1.0,no_ans
M20,16,experiment,10,↓,no_key,no_letter,-1.0,no_ans
M20,17,experiment,12,↑,no_key,no_letter,-1.0,no_ans
