PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr
M20,1,training,10,↓,down,↓,0.7829599380493164,True
M20,2,training,10,↑,up,↑,0.5181441307067871,True
M20,3,training,11,↓,down,↓,0.4784080982208252,True
M20,4,training,12,↑,down,↓,0.7041990756988525,False
M20,5,experiment,11,↓,down,↓,0.42595601081848145,True
M20,6,experiment,10,←,no_key,no_letter,-1.0,no_ans
M20,7,experiment,12,←,left,←,0.3687589168548584,True
M20,8,training,11,↓,no_key,no_letter,-1.0,no_ans
M20,9,training,11,↑,up,↑,0.13447213172912598,True
M20,10,experiment,10,→,right,→,0.3195807933807373,True
M20,11,experiment,11,↑,no_key,no_letter,-1.0,no_ans
M20,12,experiment,12,←,no_key,no_letter,-1.0,no_ans
M20,13,training,10,→,right,→,0.487839937210083,True
M20,14,training,11,↓,down,↓,0.5302770137786865,True
M20,15,experiment,10,↓,down,↓,0.20335698127746582,True
M20,16,experiment,12,←,left,←,0.20051097869873047,True
M20,17,experiment,11,→,right,→,0.27028608322143555,True
