PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr
M20,1,training,10,↓,right,→,0.8876080513000488,False
M20,2,training,10,←,no_key,no_letter,-1.0,no_ans
M20,3,training,12,→,left,←,0.3283209800720215,False
M20,4,training,12,→,no_key,no_letter,-1.0,no_ans
M20,5,experiment,10,←,no_key,no_letter,-1.0,no_ans
M20,6,experiment,11,←,no_key,no_letter,-1.0,no_ans
M20,7,experiment,12,↑,no_key,no_letter,-1.0,no_ans
M20,8,training,12,←,no_key,no_letter,-1.0,no_ans
M20,9,training,10,→,right,→,1.070026159286499,True
M20,10,experiment,11,↑,no_key,no_letter,-1.0,no_ans
M20,11,experiment,10,←,no_key,no_letter,-1.0,no_ans
M20,12,experiment,12,↑,no_key,no_letter,-1.0,no_ans
