PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr
M20,1,training,10,←,right,→,0.23465394973754883,False
M20,2,training,10,→,left,←,0.6879651546478271,False
M20,3,training,12,→,right,→,1.082320213317871,True
M20,4,training,12,↑,no_key,no_letter,-1.0,no_ans
M20,5,experiment,10,→,no_key,no_letter,-1.0,no_ans
M20,6,experiment,12,↑,no_key,no_letter,-1.0,no_ans
M20,7,experiment,11,↑,no_key,no_letter,-1.0,no_ans
M20,8,training,10,→,left,←,0.3607149124145508,False
M20,9,training,12,→,no_key,no_letter,-1.0,no_ans
M20,10,experiment,10,→,right,→,0.8265237808227539,True
M20,11,experiment,12,→,no_key,no_letter,-1.0,no_ans
M20,12,experiment,11,↓,no_key,no_letter,-1.0,no_ans
M20,13,training,12,←,no_key,no_letter,-1.0,no_ans
M20,14,training,11,↑,no_key,no_letter,-1.0,no_ans
M20,15,experiment,12,↑,no_key,no_letter,-1.0,no_ans
M20,16,experiment,11,→,no_key,no_letter,-1.0,no_ans
M20,17,experiment,10,↓,down,↓,0.04752993583679199,True
