PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr
M20,1,training,10,↓,left,←,0.38323521614074707,False
M20,2,training,10,↑,right,→,0.30239200592041016,False
M20,3,training,11,←,up,↑,0.3006889820098877,False
M20,4,training,11,←,no_key,no_letter,-1.0,no_ans
M20,5,experiment,10,↓,no_key,no_letter,-1.0,no_ans
M20,6,experiment,11,↑,up,↑,0.2025139331817627,True
M20,7,experiment,12,←,left,←,0.3095529079437256,True
M20,8,training,10,←,up,↑,0.20844602584838867,False
M20,9,training,10,↑,up,↑,0.27098608016967773,True
M20,10,experiment,12,↓,down,↓,0.36944103240966797,True
M20,11,experiment,10,↑,left,←,0.03319501876831055,False
M20,12,experiment,11,←,right,→,0.05367612838745117,False
M20,13,training,12,→,right,→,0.13391709327697754,True
M20,14,training,11,↓,left,←,0.1184701919555664,False
M20,15,experiment,11,↓,left,←,0.2635629177093506,False
M20,16,experiment,12,↓,down,↓,0.23401522636413574,True
M20,17,experiment,10,↓,down,↓,0.2231769561767578,True
