PART_ID,Trial_no,Trial_type,CSI,Stim_letter,Key_pressed,letter_choose,Rt,Corr
M20,1,training,10,↑,up,↑,0.2618539333343506,True
M20,2,training,10,↑,up,↑,0.16167616844177246,True
M20,3,training,10,↑,up,↑,0.2613260746002197,True
M20,4,training,12,↓,left,←,0.9284470081329346,False
M20,5,experiment,11,←,left,←,0.12675690650939941,True
M20,6,experiment,10,←,left,←,0.06389808654785156,True
M20,7,experiment,12,→,right,→,0.4103209972381592,True
M20,8,training,11,→,right,→,0.22995495796203613,True
M20,9,training,12,→,right,→,0.5777480602264404,True
M20,10,experiment,11,→,no_key,no_letter,-1.0,no_ans
M20,11,experiment,10,↓,down,↓,0.40251803398132324,True
M20,12,experiment,12,↓,down,↓,0.2156670093536377,True
M20,13,training,12,↓,down,↓,0.4973571300506592,True
M20,14,training,12,←,no_key,no_letter,-1.0,no_ans
M20,15,experiment,10,←,left,←,0.1087961196899414,True
M20,16,experiment,11,↑,up,↑,0.2859609127044678,True
M20,17,experiment,12,↓,down,↓,0.25572800636291504,True
